이름,칼로리,탄수화물,단백질,지방,콜레스테롤,나트륨,설탕 당
가지볶음,117,8.14,2,9.3,0,623,2.63
감자채볶음,107,13.72,1.46,5.42,0,196,1.57
계란국,272,13.23,21.62,14.75,620,1415,5.61
계란말이,336,6.53,25.46,22.4,808,772,2.81
계란찜,212,3.11,15.08,15.16,494,392,1.41
고등어구이,379,0.7,35.18,25.19,120,822,0.18
고사리나물,51,5.5,2.6,2.71,0,142,1.43
김밥,147,32.25,2.76,0.3,0,122,5.59
김치볶음밥,446,75.09,8.75,12.37,0,844,2.46
김치전,176,19.87,7.29,7.74,130,569,4.85
된장찌개,171,16.77,15.01,5.6,21,682,3.8
떡갈비,416,4.05,32.98,29.19,109,579,1.16
떡국,345,66.59,11.18,3.21,10,644,0.64
멸치볶음,69,0.35,7.43,4.09,21,1022,0.08
물냉면,383,64.58,16.5,5.74,48,1760,1.89
미역국,83,5.59,7.87,3.73,14,1134,0.62
미역줄기볶음,82,13.32,1.89,3.07,0,235,5.19
배추김치,8,1.58,0.66,0.12,0,245,0.7
불고기,486,14.77,48.38,23.86,103,583,7.17
비빔밥,586,89.78,22.05,13.99,238,433,6.02
삼겹살,661,1.18,34.47,56.43,121,1924,0
소세지볶음,250,5.28,12.95,19.68,50,810,1.48
수제비,371,61.49,15.46,6.73,99,2335,2.96
시금치나물,64,6.89,3.06,3.45,0,555,0.91
시래기국,53,6.36,4.12,2.05,4,135,1.03
애호박볶음,90,5.24,1.2,7.68,0,374,1.27
어묵탕,125,13.06,13.11,2.45,40,1225,1.26
유부초밥,539,73.1,21.28,19.25,0,741,3.39
육개장,165,10.45,14.32,7.57,20,720,1.45
잔치국수,447,83.16,20.78,3.94,26,507,2.67
제육볶음,572,31.12,39.64,33.08,128,832,20.94
조개구이,117,2.68,12.71,5.83,34,351,0
짜장면,785,129.41,26.81,19.98,22,600,6.56
콩나물국,41,5.87,2.17,1.54,0,672,1.74
콩자반,95,18.17,5.34,0.41,0,136,2.75
파전,204,25.18,7.72,8.41,131,542,5.31
피자,511,57.17,18.86,22.52,34,1071,3.01
